n;OSSelect;Select;RandSelect
361;388610,97;4351;1044
362;362609,54;4127;1013
363;338509,34;4260;1096
364;337609,52;4154;1059
365;379210,68;4331;1042
366;386510,3;4425;1018
367;366010,13;4283;1075
368;349509,89;4267;1039
369;448812,13;4321;1007
370;361309,79;4335;1063
371;394910,38;4124;1082
372;415411,25;4843;1128
373;353709,33;4797;1065
374;413911,36;4824;1102
375;375409,67;4605;1096
376;363109,14;4863;1023
377;348809,12;5003;1053
378;358409,27;5188;1065
379;365609,64;5104;1085
380;413811,0;5064;1124
381;381209,49;5117;1094
382;366908,96;4901;1076
383;416010,61;5195;1109
384;430711,44;5152;1084
385;378009,8;5174;1123
386;383109,6;5008;1063
387;406811,01;5193;1105
388;412910,5;5223;1128
389;379909,97;5139;1215
390;371308,95;5107;1114
391;366109,52;5458;1141
392;384310,05;4937;1092
393;393010,11;4794;1112
394;391810,24;5336;1144
395;405810,39;4625;1097
396;414110,51;4795;1124
397;452811,5;5210;1142
398;393209,9;5451;1248
399;402910,2;5258;1155
400;372708,88;5410;1168
401;383909,07;5327;1157
402;423810,04;5414;1076
403;390909,91;5480;1232
404;404610,43;5532;1193
405;368509,3;5690;1087
406;453910,97;5184;1140
407;453311,04;5038;1193
408;390009,76;4686;1159
409;408809,47;4721;1216
410;460511,15;4770;1143
411;405709,68;5422;1185
412;407909,56;4856;1145
413;406910,06;4780;1255
414;418210,39;4746;1242
415;424109,82;4705;1150
416;404310,29;4712;1155
417;414909,7;5181;1270
418;397209,01;5143;1227
419;405109,98;5023;1231
420;411709,88;5201;1209
421;443710,26;4906;1233
422;405509,65;5545;1220
423;423209,79;5678;1171
424;401909,43;5390;1120
425;444410,58;5401;1203
426;407309,39;5654;1311
427;446610,06;5753;1166
428;430310,91;5635;1237
429;431610,21;5602;1176
430;445310,43;5661;1224
431;458210,05;5666;1289
432;478710,94;5932;1208
433;437210,22;5883;1268
434;494410,66;5858;1295
435;461010,96;6171;1210
436;488311,22;5828;1261
437;452309,97;5945;1313
438;492511,63;5788;1304
439;409709,78;5963;1227
440;468310,79;6087;1357
441;430109,95;6227;1330
442;462310,3;5570;1205
443;442209,94;5855;1270
444;452810,35;5762;1376
445;495910,78;6122;1336
446;434010,29;5573;1336
447;443510,17;6122;1291
448;445309,7;6078;1422
449;453709,62;6125;1261
450;451209,79;6110;1340
451;459410,27;6099;1317
452;497810,58;6194;1294
453;440809,73;6228;1297
454;487510,8;6084;1322
455;481710,13;6364;1327
456;548612,41;6079;1342
457;486410,43;5465;1404
458;463410,19;5787;1374
459;531611,65;5400;1325
460;511010,48;5488;1347
461;438309,38;6111;1303
462;474010,34;5463;1323
463;483611,04;5419;1320
464;512010,6;5555;1408
465;475010,03;5554;1387
466;443209,44;5470;1344
467;496310,44;5888;1356
468;498910,77;5848;1323
469;495010,54;5958;1290
470;499010,71;6030;1328
471;471410,09;5982;1410
472;572112,75;5814;1351
473;481410,02;5749;1456
474;510511,24;5560;1388
475;479109,84;5652;1352
476;505610,52;5789;1449
477;538911,54;6313;1392
478;489510,14;6023;1449
479;507710,38;6210;1441
480;504009,97;6170;1476
481;497210,57;6555;1416
482;473910,14;6736;1404
483;564911,93;6722;1318
484;468009,79;6644;1375
485;519110,42;6639;1348
486;540110,9;6743;1385
487;567412,14;6700;1383
488;522010,86;6465;1394
489;503110,16;6861;1383
490;494309,84;6739;1434
491;487210,2;6627;1417
492;499909,28;6873;1412
493;564112,09;6039;1452
494;555010,93;6274;1442
495;475809,33;6231;1354
496;511810,48;6134;1528
497;537010,36;7083;1328
498;498910,12;6991;1444
499;522411,01;6866;1475
500;506810,02;7038;1456
501;577611,92;6591;1366
502;548311,24;7035;1568
503;536510,67;6956;1437
504;519310,02;7037;1372
505;517610,82;6692;1480
506;570212,11;6764;1352
507;502210,18;6155;1552
508;504409,85;6196;1473
509;538211,35;6505;1467
510;513110,25;6116;1425
511;577911,46;6718;1486
512;534910,47;6384;1491
513;605611,5;6231;1444
514;519809,83;6259;1468
515;574611,51;6176;1520
516;525010,26;6383;1563
517;581310,73;6704;1573
518;627212,0;6877;1528
519;572811,16;6648;1508
520;582510,86;7046;1528
521;532110,46;6824;1492
522;585711,09;6630;1474
523;614511,34;7046;1526
524;559210,15;6805;1514
525;559611,31;6920;1443
526;562510,34;6944;1599
527;520510,06;7151;1592
528;548310,48;7267;1513
529;570310,65;7167;1531
530;674113,1;7316;1508
531;587611,21;7469;1680
532;536209,96;7368;1486
533;559010,37;7630;1584
534;542710,14;7569;1578
535;651011,77;7566;1610
536;551010,12;7115;1524
537;564710,85;7007;1553
538;603611,2;6996;1478
539;529309,77;7348;1547
540;548610,28;7106;1561
541;571310,83;7317;1496
542;579410,55;6629;1695
543;536809,99;6509;1512
544;585210,54;7656;1541
545;554910,3;7460;1566
546;574910,63;7347;1578
547;581310,81;7146;1563
548;613110,34;7259;1665
549;613710,82;7162;1516
550;571010,53;7146;1525
551;625211,47;7349;1436
552;621010,61;7423;1647
553;751813,34;7370;1559
554;595610,53;7367;1556
555;593010,77;7300;1566
556;649111,55;7405;1567
557;594110,56;6800;1715
558;667512,53;6813;1655
559;612411,64;6893;1553
560;608010,36;7015;1589
561;570910,29;7690;1642
562;631111,36;7352;1736
563;666812,48;7210;1671
564;606110,53;7365;1658
565;629311,08;7277;1648
566;569610,31;7308;1612
567;590610,16;7404;1590
568;636411,37;7533;1653
569;555809,72;8044;1644
570;605510,84;7225;1650
571;564309,47;6673;1676
572;580210,18;7700;1685
573;651511,36;7218;1705
574;584110,55;7260;1656
575;597109,95;7138;1781
576;611010,46;7332;1654
577;642411,37;7242;1664
578;599709,93;7999;1663
579;660911,64;7427;1705
580;620410,95;7310;1618
581;580910,28;7695;1678
582;630910,55;7940;1684
583;600210,25;7638;1737
584;631310,27;7791;1827
585;638210,64;7929;1786
586;646011,44;8004;1678
587;676311,65;8598;1727
588;701411,95;8523;1785
589;684511,59;8885;1765
590;635910,78;8597;1701
591;660711,05;8646;1736
592;583410,26;7935;1740
593;670311,18;8521;1768
594;659110,58;7722;1713
595;595710,22;7841;1753
596;614310,46;8619;1725
597;642411,17;8550;1810
598;630310,63;8653;1691
599;698911,25;8765;1883
600;651111,64;8671;1818
601;733912,58;8394;1708
602;662710,99;8879;1845
603;614510,28;9032;1705
604;624310,43;8742;1747
605;624810,34;9099;1758
606;680011,75;8469;1693
607;693311,85;7682;1768
608;720211,78;7494;1819
609;653210,92;7442;1689
610;656510,85;7889;1789
611;622610,2;8551;1805
612;643111,26;7952;1788
613;781412,92;7920;1861
614;729411,77;7843;1821
615;656611,18;8194;1806
616;675511,4;7707;1809
617;749411,59;8691;1933
618;709811,18;8016;1843
619;633310,45;7871;1778
620;654510,58;7996;1716
621;660010,42;7718;1779
622;697510,63;9788;1854
623;641310,23;9768;1937
624;715111,71;9059;1952
625;765211,95;8955;1749
626;740911,23;9882;1831
627;697510,52;10567;1950
628;658710,43;9935;1848
629;679210,99;10067;1948
630;696510,77;9754;1903
631;729112,15;9956;1952
632;654210,61;10988;1840
633;728312,25;9425;1894
634;667710,48;10015;1825
635;661810,44;10057;1931
636;716911,52;10160;1863
637;684710,5;9834;1936
638;718711,5;10762;1889
639;662110,67;12067;1866
640;696410,8;10821;1939
641;734811,58;10424;1816
642;676610,66;9512;1768
643;660510,57;9891;1784
644;701810,2;9615;1975
645;703610,97;9747;1947
646;723311,64;9569;1804
647;742111,0;11153;1753
648;672810,62;10607;1838
649;673210,52;11436;1989
650;697010,9;10790;1842
651;700110,58;10705;1952
652;713510,4;11642;2018
653;799312,09;11349;1932
654;689110,74;11970;1872
655;705011,23;10856;1887
656;676410,38;9377;1908
657;720310,68;8113;1902
658;721910,99;8276;1996
659;756712,03;8420;1967
660;761912,15;8209;1931
661;710210,61;9627;1921
662;760411,55;8951;1976
663;685309,72;8578;2035
664;687310,03;8539;1925
665;738410,67;9223;1932
666;703310,42;8528;2096
667;863212,23;9386;1923
668;740710,96;9051;2068
669;723210,66;9173;1948
670;725610,8;9097;1955
671;705810,73;8386;1956
672;737311,36;11000;2013
673;734911,01;10467;1982
674;748811,73;11379;1946
675;779711,68;11127;2006
676;701910,03;11556;1994
677;751811,41;11535;1963
678;722410,62;12215;1957
679;738710,76;11912;2086
680;818211,93;11838;2047
681;774510,71;11537;2024
682;764310,85;11453;2070
683;791011,14;11480;1916
684;862412,25;11846;1881
685;759310,97;11993;2013
686;798311,65;11223;2065
687;763510,85;10530;2007
688;807312,25;11931;1968
689;773811,42;11076;2105
690;724510,56;11414;2101
691;727010,5;11785;1996
692;796111,9;11043;2016
693;772811,37;10518;1890
694;858312,02;9886;1979
695;801911,41;11549;1951
696;780011,6;10075;2101
697;794411,35;10707;1942
698;836912,75;11467;1882
699;780211,33;11164;2081
700;792710,92;10960;2057
701;807012,43;11400;2105
702;732710,48;11776;2091
703;859912,49;11511;1964
704;751211,22;11251;2038
705;879312,37;12325;2020
706;749810,83;10350;2089
707;821912,77;10040;2109
708;815811,85;9157;2005
709;840911,92;9006;2111
710;812611,32;9784;2013
711;818110,11;10892;2286
712;791210,45;9670;2106
713;796310,91;9359;2080
714;821711,14;9202;2146
715;773610,84;9706;2187
716;774710,89;9263;2113
717;777210,82;9755;2162
718;873112,52;10036;2000
719;833312,03;9862;1970
720;739710,56;10241;1983
721;764010,16;8939;2189
722;816311,61;10895;2122
723;784410,8;10402;2186
724;770710,72;10742;2168
725;819211,38;11125;2069
726;855312,08;11041;2024
727;869612,41;11235;2050
728;835311,47;10981;2045
729;810111,15;11591;2196
730;802111,3;11208;2229
731;824011,9;12052;2219
732;857111,87;12206;2034
733;793211,01;11741;2078
734;829711,04;11554;2180
735;857711,55;11828;2241
736;807811,0;12139;2107
737;869911,28;11604;2066
738;829910,97;11679;2016
739;816011,34;11921;2149
740;846211,32;12559;2128
741;844311,6;12249;2228
742;782910,08;10991;2083
743;813310,91;10865;2061
744;819210,61;11002;2294
745;853811,39;11736;2162
746;768710,3;10862;2151
747;928412,54;12391;2098
748;980913,78;11874;2078
749;806810,8;12719;2263
750;880911,77;12092;1945
751;921011,86;11936;2356
752;797510,65;12657;2251
753;806310,91;12541;2148
754;823911,02;12377;2259
755;856911,44;11783;2189
756;787610,29;11495;2324
757;821310,87;9892;2248
758;813010,94;9682;2336
759;874311,29;9863;2222
760;861512,03;9823;2253
761;849811,24;11364;2163
762;904611,73;10145;2226
763;904011,92;10135;2311
764;856110,78;10693;2291
765;851010,94;10108;2183
766;898612,3;10967;2258
767;870811,5;10862;2274
768;868011,08;10625;2172
769;841510,79;11938;2134
770;820311,12;10866;2216
771;864411,01;10454;2179
772;834010,7;13229;2272
773;804610,14;12257;2243
774;881911,36;13571;2211
775;844011,27;13665;2318
776;872811,08;12158;2322
777;936411,84;12674;2322
778;866510,73;14010;2289
779;860911,13;14406;2288
780;932112,46;14106;2304
781;874611,59;12058;2320
782;866911,36;12482;2283
783;871011,48;12461;2191
784;1011512,71;12488;2251
785;886211,44;12278;2427
786;981912,13;11367;2218
787;945211,74;11525;2261
788;941112,0;11627;2251
789;957212,64;11246;2341
790;970512,5;11537;2397
791;851310,83;11291;2287
792;887711,82;11022;2398
793;946212,14;10821;2181
794;883511,23;10643;2214
795;923811,72;11764;2334
796;905311,34;11670;2439
797;954312,04;11708;2342
798;878610,4;11334;2411
799;927111,33;11537;2343
800;893410,9;11685;2381
801;918811,43;11654;2291
802;924411,36;11764;2362
803;906911,57;11828;2379
804;927011,5;11960;2431
805;901811,83;11834;2394
806;928611,59;11738;2276
807;880211,1;11327;2437
808;960911,61;10592;2456
809;1134613,89;11051;2389
810;867710,84;10684;2322
811;917411,36;12229;2395
812;912411,04;11320;2355
813;979512,07;10451;2559
814;942811,14;11217;2526
815;1002711,67;10890;2383
816;932611,82;10608;2357
817;1085213,92;11513;2231
818;922111,23;11664;2333
819;907610,77;11543;2348
820;932611,22;11579;2241
821;943210,93;9994;2423
822;980711,22;12342;2406
823;965311,99;10251;2507
824;924710,57;10673;2484
825;978812,06;10568;2346
826;926511,46;10600;2449
827;1102714,15;11968;2433
828;897911,08;12183;2246
829;997412,46;12105;2396
830;988911,32;10898;2453
831;893010,96;12508;2405
832;950311,33;11889;2370
833;982011,89;12440;2480
834;919911,07;11746;2439
835;971111,43;12306;2587
836;1029813,03;13158;2410
837;1007811,83;13249;2356
838;925010,7;12933;2411
839;974911,18;13668;2434
840;989711,21;13112;2562
841;964011,37;14142;2382
842;999611,6;13820;2604
843;966111,34;12242;2525
844;926510,62;13892;2700
845;977511,86;14020;2680
846;1065013,12;13060;2452
847;931311,59;13620;2606
848;976411,49;13760;2436
849;1025411,65;13378;2500
850;1025212,0;14273;2452
851;940011,01;13770;2343
852;979511,16;14587;2550
853;944111,5;14235;2537
854;1035811,52;13588;2390
855;943511,22;15029;2555
856;991611,33;12971;2503
857;1026612,13;12155;2623
858;1052812,11;11036;2296
859;924110,79;11140;2473
860;1011611,73;11181;2413
861;1083912,64;13539;2604
862;942510,94;11443;2514
863;1206514,47;12227;2560
864;1034612,1;11588;2725
865;986511,74;12331;2663
866;949611,1;11724;2450
867;1188314,12;11998;2526
868;1054511,8;12163;2472
869;1218413,08;12085;2670
870;1046112,29;12139;2533
871;1054112,02;12111;2524
872;1043511,49;14207;2477
873;1009711,25;15057;2487
874;1008211,7;14562;2704
875;955810,76;13712;2479
876;1022010,88;13527;2714
877;1042411,43;14466;2614
878;1042111,78;15977;2634
879;1119313,03;15425;2637
880;975410,65;16325;2515
881;1018411,87;15540;2527
882;1029711,64;14901;2718
883;1004211,68;14554;2720
884;1031411,93;15417;2683
885;1065012,35;16090;2631
886;1019311,33;15832;2723
887;959210,54;16013;2640
888;994611,64;16338;2651
889;1022811,31;15803;2612
890;1044011,7;16069;2573
891;1039511,66;16375;2670
892;1132212,32;14799;2682
893;1086111,47;15199;2757
894;993410,94;14167;2631
895;987610,81;13498;2601
896;1009111,58;15656;2604
897;1016811,41;16213;2603
898;1205612,84;15881;2597
899;958010,07;15952;2689
900;1096112,57;15598;2569
901;1092612,18;15533;2799
902;1074112,02;15292;2765
903;979710,96;16796;2681
904;1027110,76;14857;2654
905;1037711,47;15205;2533
906;1290914,35;13180;2573
907;1018711,69;13180;2688
908;1145812,39;13304;2700
909;1108012,24;13189;2712
910;1025111,28;12056;2685
911;1091611,62;13745;2784
912;1105412,36;12316;2777
913;1039011,59;12567;2757
914;1089911,5;13159;2804
915;1077111,47;12598;2688
916;1123812,8;12373;2668
917;1074611,2;13632;2775
918;1144013,24;14272;2668
919;1174112,67;14083;2748
920;1154412,51;14408;2750
921;1136111,87;14017;2739
922;1059511,5;16568;2814
923;1050711,44;16952;2704
924;1068511,87;16185;2838
925;1015711,13;15584;2727
926;1066011,67;16873;2816
927;988510,44;16421;2830
928;1041511,18;15533;2885
929;1154312,8;17424;2775
930;1068711,59;15954;2725
931;1038411,64;16038;2663
932;1109611,03;16411;2736
933;1100411,42;17215;2594
934;1114612,18;16186;2826
935;1054812,11;17607;2821
936;1080312,15;17274;2829
937;1117811,72;15712;2841
938;1157413,01;16143;2780
939;1105811,96;17247;2857
940;1092411,68;16755;2946
941;1081412,01;17286;2837
942;1134012,39;15798;2675
943;1198813,19;15689;2646
944;1074411,58;16446;2979
945;1088211,66;16267;2776
946;1082710,86;16701;2777
947;1140212,48;18072;2780
948;1110111,66;17762;2787
949;1061611,42;16180;2891
950;1057011,71;17711;2817
951;1114711,9;16736;2739
952;1046610,96;16499;2738
953;1112112,18;15924;2611
954;1221512,33;16420;2750
955;1133412,06;19692;2844
956;1192713,23;15013;2949
957;1140612,11;13262;2745
958;1114311,75;13036;2925
959;1183412,9;14510;2730
960;1048510,79;13124;2711
961;1198112,19;14360;2969
962;1100611,49;13521;2807
963;1129711,46;14178;2885
964;1198512,09;14114;2802
965;1090211,12;13540;2763
966;1112310,95;13447;2935
967;1106411,09;14553;2814
968;1186811,8;15327;2879
969;1077711,17;15137;2902
970;1154211,67;13969;3003
971;1171612,28;15577;2887
972;1216512,83;16540;2971
973;1203911,94;16463;2792
974;1062110,99;15232;2998
975;1242312,96;15837;2902
976;1152011,9;16572;2995
977;1036010,34;17212;3103
978;1117412,1;16982;2934
979;1239413,15;16824;2633
980;1216511,75;16991;2690
981;1135811,7;18493;2964
982;1235912,88;18677;2780
983;1127011,63;17055;3110
984;1193612,27;18200;2801
985;1160212,23;18819;3072
986;1212911,78;19348;3017
987;1259713,14;17973;2976
988;1199412,2;17645;2828
989;1209812,35;18381;2969
990;1151312,01;16928;2852
991;1287912,46;16912;2666
992;1248612,89;17511;2835
993;1221212,31;18307;2901
994;1140011,74;17658;2943
995;1168212,11;17136;2845
996;1160611,94;16971;3005
997;1184811,99;17214;2924
998;1201611,65;17400;2819
999;1127411,58;18014;2934
